np, nx, time
16, 128, 0.109489
16, 128, 0.148045
16, 128, 0.10751
16, 128, 0.103511
16, 128, 0.109928
16, 128, 0.112101
16, 128, 0.103767
16, 128, 0.293085
16, 128, 0.11164
16, 128, 0.249475
1, 64, 0.196703
1, 64, 0.215001
1, 64, 0.218834
1, 64, 0.20347
1, 64, 0.200063
2, 64, 0.112514
2, 64, 0.112867
2, 64, 0.109406
2, 64, 0.114491
2, 64, 0.110095
4, 64, 0.1223
4, 64, 0.0994374
4, 64, 0.116371
4, 64, 0.112986
4, 64, 0.121581
8, 64, 0.0991632
8, 64, 0.104299
8, 64, 0.0961495
8, 64, 0.0948758
8, 64, 0.0995493
16, 64, 0.115923
16, 64, 0.132395
16, 64, 0.103327
16, 64, 0.105168
16, 64, 0.118907
1, 128, 0.592607
1, 128, 0.587783
1, 128, 0.594473
1, 128, 0.591457
1, 128, 0.593283
2, 128, 0.244746
2, 128, 0.246757
2, 128, 0.244365
2, 128, 0.242576
2, 128, 0.245743
4, 128, 0.198362
4, 128, 0.254943
4, 128, 0.244796
4, 128, 0.244034
4, 128, 0.245036
8, 128, 0.129681
8, 128, 0.121328
8, 128, 0.13421
8, 128, 0.132288
8, 128, 0.140123
16, 128, 0.113024
16, 128, 0.119064
16, 128, 0.22478
16, 128, 0.108724
16, 128, 0.14665
1, 256, 1.46177
1, 256, 1.46734
1, 256, 1.51634
1, 256, 1.46187
1, 256, 1.45181
2, 256, 0.932945
2, 256, 0.97307
2, 256, 0.984223
2, 256, 0.961994
2, 256, 0.98835
4, 256, 0.588488
4, 256, 0.77037
4, 256, 0.769779
4, 256, 0.754098
4, 256, 0.798293
8, 256, 0.377607
8, 256, 0.395904
8, 256, 0.320064
8, 256, 0.310289
8, 256, 0.358555
16, 256, 0.184282
16, 256, 0.181607
16, 256, 0.182542
16, 256, 0.203603
16, 256, 0.209876
1, 512, 8.20985
1, 512, 7.89128
1, 512, 7.88171
1, 512, 7.87359
1, 512, 7.88206
2, 512, 4.41371
2, 512, 4.1027
2, 512, 3.96735
2, 512, 3.96919
2, 512, 3.95527
4, 512, 2.93157
4, 512, 2.86739
4, 512, 3.57474
4, 512, 3.57922
4, 512, 2.77432
8, 512, 1.76301
8, 512, 1.83186
8, 512, 1.90288
8, 512, 1.84174
8, 512, 1.74847
16, 512, 0.968377
16, 512, 0.971974
16, 512, 0.949754
16, 512, 1.4101
16, 512, 0.773267
1, 1024, 60.4635
1, 1024, 68.9817
1, 1024, 84.5454
1, 1024, 81.3602
1, 1024, 61.5602
2, 1024, 36.6889
2, 1024, 36.4887
2, 1024, 36.2591
2, 1024, 36.3472
2, 1024, 36.3347
4, 1024, 16.3681
4, 1024, 14.6026
4, 1024, 14.8988
4, 1024, 15.5306
4, 1024, 14.6087
8, 1024, 8.39399
8, 1024, 7.79659
8, 1024, 8.37201
8, 1024, 8.1803
8, 1024, 7.65405
16, 1024, 4.60127
16, 1024, 3.8648
16, 1024, 5.37761
16, 1024, 4.23322
16, 1024, 3.88933
